date,outlet,product,variant,category,quantity_sold,revenue,year,month,day,dayofweek,weekofyear,is_weekend,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,lag_28,rolling_3_mean,rolling_3_max,rolling_3_std,rolling_7_mean,rolling_7_max,rolling_7_std,rolling_14_mean,rolling_14_max,rolling_14_std,rolling_21_mean,rolling_21_max,rolling_21_std,rolling_30_mean,rolling_30_max,rolling_30_std,diff_1,diff_7,ratio_7_30
2025-01-02,SHOP001,Air Mineral,-,Other,2,10000,2025,1,2,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03,SHOP001,Air Mineral,-,Other,1,5000,2025,1,3,4,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.99999950000025
2025-01-05,SHOP001,Air Mineral,-,Other,3,15000,2025,1,5,6,1,1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,0.7071067811865476,1.5,2.0,0.7071067811865476,1.5,2.0,0.7071067811865476,1.5,2.0,0.7071067811865476,1.5,2.0,0.7071067811865476,-1.0,0.0,0.9999993333337779
2025-01-06,SHOP001,Air Mineral,-,Other,2,10000,2025,1,6,0,2,0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,0.0,0.99999950000025
2025-01-08,SHOP001,Air Mineral,-,Other,2,10000,2025,1,8,2,2,0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,3.0,0.816496580927726,2.0,3.0,0.816496580927726,2.0,3.0,0.816496580927726,2.0,3.0,0.816496580927726,-1.0,0.0,0.99999950000025
2025-01-10,SHOP001,Air Mineral,-,Other,2,10000,2025,1,10,4,2,0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,2.3333333333333335,3.0,0.5773502691896258,2.0,3.0,0.7071067811865476,2.0,3.0,0.7071067811865476,2.0,3.0,0.7071067811865476,2.0,3.0,0.7071067811865476,0.0,0.0,0.99999950000025
2025-01-11,SHOP001,Air Mineral,-,Other,1,5000,2025,1,11,5,2,1,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,3.0,0.6324555320336759,2.0,3.0,0.6324555320336759,2.0,3.0,0.6324555320336759,2.0,3.0,0.6324555320336759,0.0,0.0,0.99999950000025
2025-01-12,SHOP001,Air Mineral,-,Other,1,5000,2025,1,12,6,2,1,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.6666666666666667,2.0,0.5773502691896258,1.8571428571428572,3.0,0.6900655593423543,1.8571428571428572,3.0,0.6900655593423543,1.8571428571428572,3.0,0.6900655593423543,1.8571428571428572,3.0,0.6900655593423543,-1.0,-1.0,0.9999994615387515
2025-01-14,SHOP001,Air Mineral,-,Other,3,15000,2025,1,14,1,3,0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.3333333333333333,2.0,0.5773502691896258,1.7142857142857142,3.0,0.7559289460184545,1.75,3.0,0.7071067811865476,1.75,3.0,0.7071067811865476,1.75,3.0,0.7071067811865476,0.0,0.0,0.9795912769682499
2025-01-15,SHOP001,Air Mineral,-,Other,2,10000,2025,1,15,2,3,0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,1.6666666666666667,3.0,1.1547005383792517,2.0,3.0,0.816496580927726,1.8888888888888888,3.0,0.7817359599705717,1.8888888888888888,3.0,0.7817359599705717,1.8888888888888888,3.0,0.7817359599705717,2.0,0.0,1.0588229688584283
2025-01-21,SHOP001,Air Mineral,-,Other,4,20000,2025,1,21,1,4,0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,1.8571428571428572,3.0,0.6900655593423541,1.9,3.0,0.7378647873726218,1.9,3.0,0.7378647873726218,1.9,3.0,0.7378647873726218,-1.0,0.0,0.9774430945788225
2025-01-23,SHOP001,Air Mineral,-,Other,2,10000,2025,1,23,3,4,0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,3.0,4.0,1.0000000000000004,2.142857142857143,4.0,1.0690449676496976,2.090909090909091,4.0,0.9438798074485389,2.090909090909091,4.0,0.9438798074485389,2.090909090909091,4.0,0.9438798074485389,2.0,2.0,1.0248442303540015
2025-01-24,SHOP001,Air Mineral,-,Other,1,5000,2025,1,24,4,4,0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,2.6666666666666665,4.0,1.1547005383792517,2.142857142857143,4.0,1.0690449676496976,2.0833333333333335,4.0,0.90033663737852,2.0833333333333335,4.0,0.90033663737852,2.0833333333333335,4.0,0.90033663737852,-2.0,0.0,1.0285709348573797
2025-01-25,SHOP001,Air Mineral,-,Other,5,25000,2025,1,25,5,4,1,1.0,2.0,4.0,1.0,0.0,0.0,0.0,2.3333333333333335,4.0,1.5275252316519465,2.0,4.0,1.1547005383792515,2.0,4.0,0.9128709291752769,2.0,4.0,0.9128709291752769,2.0,4.0,0.9128709291752769,-1.0,0.0,0.99999950000025
2025-01-26,SHOP001,Air Mineral,-,Other,1,5000,2025,1,26,6,4,1,5.0,1.0,2.0,1.0,2.0,0.0,0.0,2.6666666666666665,5.0,2.081665999466133,2.5714285714285716,5.0,1.511857892036909,2.2142857142857144,5.0,1.1883130530663677,2.2142857142857144,5.0,1.1883130530663677,2.2142857142857144,5.0,1.1883130530663677,4.0,4.0,1.161289798127188
2025-01-27,SHOP001,Air Mineral,-,Other,2,10000,2025,1,27,0,5,0,1.0,5.0,1.0,3.0,1.0,0.0,0.0,2.3333333333333335,5.0,2.309401076758503,2.5714285714285716,5.0,1.511857892036909,2.142857142857143,5.0,1.2314558524297639,2.1333333333333333,5.0,1.1872336794093274,2.1333333333333333,5.0,1.1872336794093274,-4.0,-2.0,1.205356577846247
2025-01-28,SHOP001,Air Mineral,-,Other,1,5000,2025,1,28,1,5,0,2.0,1.0,5.0,2.0,3.0,0.0,0.0,2.6666666666666665,5.0,2.081665999466133,2.4285714285714284,5.0,1.5118578920369088,2.2142857142857144,5.0,1.1883130530663677,2.125,5.0,1.1474609652039003,2.125,5.0,1.1474609652039003,1.0,0.0,1.1428566050422697
