date,outlet,category,product,variant,predicted_demand,estimated_current_stock,safety_stock,recommended_stock,restock_qty,status,recommended_action
2025-10-01,SHOP001,Menu Gedhe,Green Thai Tea (Gedhe),-,2.108605289044956,2.0,2.0,5.0,3,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Menu Gedhe,BLACK,-,1.9377853503044442,1.0,2.0,4.0,3,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Menu Gedhe,WHITE,-,1.8866883443332285,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Tea,Moody,-,1.8788267572155177,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Coffee,Cappuccino,Hot Arabica,1.857400653527166,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Snacks,Gula Gula,-,1.8553639115968803,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Other,Black Rice,Hot,1.8484643826061729,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Other,Lemons,-,1.8396619684418034,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Snacks,Banana Bread,Original,1.8349738997211418,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Coffee,Vanilla Latte,-,1.8237676815573942,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Menu Gedhe,WHITE,Arabica,1.8224285921561736,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Menu Gedhe,Biru (Gedhe),-,1.8172268173741224,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Coffee,Butterscotch,-,1.8100411960814342,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Snacks,Croffle,-,1.810039870657715,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Menu Gedhe,WHITE,Houseblend,1.8098545753414528,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Coffee,Friendly Coffee,Hot,1.8089506586480428,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Coffee,Happy Moca,Ice,1.8050942415288254,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Coffee,Cold Brew,-,1.8045265528993035,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Snacks,Banana Bread,Chocolate,1.8022580527777396,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Other,Red Liquid,-,1.8008427250670567,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Coffee,Americano,Ice Houesblend,1.7954039336558998,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Other,Sunset,-,1.795296620353139,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Other,Jus Semangka,-,1.785792678732854,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Other,Matcha Latte,Ice,1.7822320168784234,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Menu Gedhe,Butterscotch Latte (Gedhe),-,1.7818533029434405,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Tea,Green Thai Tea,-,1.7777403577471034,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Coffee,Apple Pie Latte,-,1.7748677819398084,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Other,Forbidden Berry,-,1.772489891544769,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Snacks,Nutella Meses,-,1.771800855078657,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Coffee,Cappuccino,Ice Arabica,1.7715752594562366,3.0,2.0,4.0,1,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Other,Matcha Latte,Hot,1.7697105206168309,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Coffee,Friendly Coffee,Ice double shot,1.7692870053468939,3.0,2.0,4.0,1,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Coffee,Candy Latte,-,1.7686661257967529,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Other,Creamy Klepon,-,1.762473639432025,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Add on,Upgrade Beans (Arabica),-,1.7615753235580696,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Add on,Extra Shot,Arabica,1.7606095826506964,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Coffee,Basic Latte,Hot Arabica,1.7589730459559574,3.0,2.0,4.0,1,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Tea,Lemon Tea,Ice,1.757454866443853,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Snacks,Donat Polos,-,1.755635970727084,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP003,Other,Creamy Klepon,-,1.7512192454180686,1.0,2.0,4.0,3,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Coffee,Shakencano,-,1.7438332815637492,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Coffee,Friendly Coffee,Ice,1.741715593715829,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Tea,Soft Tea,-,1.7375285742879933,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Coffee,Basic Latte,Ice Houseblend,1.7345792738516403,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Coffee,Hazelnut Latte,-,1.73077058732875,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Coffee,Cappuccino,Ice Houseblend,1.7297063930063512,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Coffee,Americano,Hot Arabica,1.7285994648141343,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Other,Air Mineral,-,1.72264704460409,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Menu Gedhe,Matchapresso (Gedhe),-,1.7206769710624996,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Coffee,Espresso Arabica,On The Rock,1.713608631533537,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Coffee,Americano,Hot Houseblend,1.7131404387132574,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Coffee,Biru,-,1.7124729704729018,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Menu Gedhe,Not Tiramisu Latte (Gedhe),-,1.710006071714302,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
2025-10-01,SHOP001,Tea,Lemon Tea,Hot,1.7085349206620046,2.0,2.0,4.0,2,Restock,Tambah stok/produksi
